"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	Births
	"2009"	"2009"	"Rhode Island"	"44"	"Female"	"F"	5603
	"2009"	"2009"	"Rhode Island"	"44"	"Male"	"M"	5839
"Total"	"2009"	"2009"	"Rhode Island"	"44"			11442
	"2009"	"2009"	"South Carolina"	"45"	"Female"	"F"	30055
	"2009"	"2009"	"South Carolina"	"45"	"Male"	"M"	30565
"Total"	"2009"	"2009"	"South Carolina"	"45"			60620
	"2009"	"2009"	"South Dakota"	"46"	"Female"	"F"	5862
	"2009"	"2009"	"South Dakota"	"46"	"Male"	"M"	6072
"Total"	"2009"	"2009"	"South Dakota"	"46"			11934
	"2009"	"2009"	"Tennessee"	"47"	"Female"	"F"	40184
	"2009"	"2009"	"Tennessee"	"47"	"Male"	"M"	42027
"Total"	"2009"	"2009"	"Tennessee"	"47"			82211
	"2009"	"2009"	"Texas"	"48"	"Female"	"F"	196917
	"2009"	"2009"	"Texas"	"48"	"Male"	"M"	205060
"Total"	"2009"	"2009"	"Texas"	"48"			401977
	"2009"	"2009"	"Utah"	"49"	"Female"	"F"	26329
	"2009"	"2009"	"Utah"	"49"	"Male"	"M"	27558
"Total"	"2009"	"2009"	"Utah"	"49"			53887
	"2009"	"2009"	"Vermont"	"50"	"Female"	"F"	2918
	"2009"	"2009"	"Vermont"	"50"	"Male"	"M"	3192
"Total"	"2009"	"2009"	"Vermont"	"50"			6110
	"2009"	"2009"	"Virginia"	"51"	"Female"	"F"	51307
	"2009"	"2009"	"Virginia"	"51"	"Male"	"M"	53752
"Total"	"2009"	"2009"	"Virginia"	"51"			105059
	"2009"	"2009"	"Washington"	"53"	"Female"	"F"	43577
	"2009"	"2009"	"Washington"	"53"	"Male"	"M"	45736
"Total"	"2009"	"2009"	"Washington"	"53"			89313
	"2009"	"2009"	"West Virginia"	"54"	"Female"	"F"	10452
	"2009"	"2009"	"West Virginia"	"54"	"Male"	"M"	10816
"Total"	"2009"	"2009"	"West Virginia"	"54"			21268
	"2009"	"2009"	"Wisconsin"	"55"	"Female"	"F"	34656
	"2009"	"2009"	"Wisconsin"	"55"	"Male"	"M"	36187
"Total"	"2009"	"2009"	"Wisconsin"	"55"			70843
	"2009"	"2009"	"Wyoming"	"56"	"Female"	"F"	3785
	"2009"	"2009"	"Wyoming"	"56"	"Male"	"M"	4096
"Total"	"2009"	"2009"	"Wyoming"	"56"			7881
"Total"	"2009"	"2009"					4130665
	"2010"	"2010"	"Alabama"	"01"	"Female"	"F"	29227
	"2010"	"2010"	"Alabama"	"01"	"Male"	"M"	30823
"Total"	"2010"	"2010"	"Alabama"	"01"			60050
	"2010"	"2010"	"Alaska"	"02"	"Female"	"F"	5616
	"2010"	"2010"	"Alaska"	"02"	"Male"	"M"	5855
"Total"	"2010"	"2010"	"Alaska"	"02"			11471
	"2010"	"2010"	"Arizona"	"04"	"Female"	"F"	42936
	"2010"	"2010"	"Arizona"	"04"	"Male"	"M"	44541
"Total"	"2010"	"2010"	"Arizona"	"04"			87477
	"2010"	"2010"	"Arkansas"	"05"	"Female"	"F"	18816
	"2010"	"2010"	"Arkansas"	"05"	"Male"	"M"	19724
"Total"	"2010"	"2010"	"Arkansas"	"05"			38540
	"2010"	"2010"	"California"	"06"	"Female"	"F"	248983
	"2010"	"2010"	"California"	"06"	"Male"	"M"	261215
"Total"	"2010"	"2010"	"California"	"06"			510198
	"2010"	"2010"	"Colorado"	"08"	"Female"	"F"	32270
	"2010"	"2010"	"Colorado"	"08"	"Male"	"M"	34085
"Total"	"2010"	"2010"	"Colorado"	"08"			66355
	"2010"	"2010"	"Connecticut"	"09"	"Female"	"F"	18485
	"2010"	"2010"	"Connecticut"	"09"	"Male"	"M"	19223
"Total"	"2010"	"2010"	"Connecticut"	"09"			37708
	"2010"	"2010"	"Delaware"	"10"	"Female"	"F"	5564
	"2010"	"2010"	"Delaware"	"10"	"Male"	"M"	5800
"Total"	"2010"	"2010"	"Delaware"	"10"			11364
	"2010"	"2010"	"District of Columbia"	"11"	"Female"	"F"	4463
	"2010"	"2010"	"District of Columbia"	"11"	"Male"	"M"	4702
"Total"	"2010"	"2010"	"District of Columbia"	"11"			9165
	"2010"	"2010"	"Florida"	"12"	"Female"	"F"	104794
	"2010"	"2010"	"Florida"	"12"	"Male"	"M"	109796
"Total"	"2010"	"2010"	"Florida"	"12"			214590
	"2010"	"2010"	"Georgia"	"13"	"Female"	"F"	65438
	"2010"	"2010"	"Georgia"	"13"	"Male"	"M"	68509
"Total"	"2010"	"2010"	"Georgia"	"13"			133947
	"2010"	"2010"	"Hawaii"	"15"	"Female"	"F"	9071
	"2010"	"2010"	"Hawaii"	"15"	"Male"	"M"	9917
"Total"	"2010"	"2010"	"Hawaii"	"15"			18988
	"2010"	"2010"	"Idaho"	"16"	"Female"	"F"	11319
	"2010"	"2010"	"Idaho"	"16"	"Male"	"M"	11879
"Total"	"2010"	"2010"	"Idaho"	"16"			23198
	"2010"	"2010"	"Illinois"	"17"	"Female"	"F"	80298
	"2010"	"2010"	"Illinois"	"17"	"Male"	"M"	84902
"Total"	"2010"	"2010"	"Illinois"	"17"			165200
	"2010"	"2010"	"Indiana"	"18"	"Female"	"F"	40829
	"2010"	"2010"	"Indiana"	"18"	"Male"	"M"	43111
"Total"	"2010"	"2010"	"Indiana"	"18"			83940
	"2010"	"2010"	"Iowa"	"19"	"Female"	"F"	19066
	"2010"	"2010"	"Iowa"	"19"	"Male"	"M"	19653
"Total"	"2010"	"2010"	"Iowa"	"19"			38719
	"2010"	"2010"	"Kansas"	"20"	"Female"	"F"	19887
	"2010"	"2010"	"Kansas"	"20"	"Male"	"M"	20762
"Total"	"2010"	"2010"	"Kansas"	"20"			40649
	"2010"	"2010"	"Kentucky"	"21"	"Female"	"F"	27038
	"2010"	"2010"	"Kentucky"	"21"	"Male"	"M"	28746
"Total"	"2010"	"2010"	"Kentucky"	"21"			55784
	"2010"	"2010"	"Louisiana"	"22"	"Female"	"F"	30565
	"2010"	"2010"	"Louisiana"	"22"	"Male"	"M"	31814
"Total"	"2010"	"2010"	"Louisiana"	"22"			62379
	"2010"	"2010"	"Maine"	"23"	"Female"	"F"	6328
	"2010"	"2010"	"Maine"	"23"	"Male"	"M"	6642
"Total"	"2010"	"2010"	"Maine"	"23"			12970
	"2010"	"2010"	"Maryland"	"24"	"Female"	"F"	36203
	"2010"	"2010"	"Maryland"	"24"	"Male"	"M"	37598
"Total"	"2010"	"2010"	"Maryland"	"24"			73801
	"2010"	"2010"	"Massachusetts"	"25"	"Female"	"F"	35559
	"2010"	"2010"	"Massachusetts"	"25"	"Male"	"M"	37306
"Total"	"2010"	"2010"	"Massachusetts"	"25"			72865
	"2010"	"2010"	"Michigan"	"26"	"Female"	"F"	55967
	"2010"	"2010"	"Michigan"	"26"	"Male"	"M"	58564
"Total"	"2010"	"2010"	"Michigan"	"26"			114531
	"2010"	"2010"	"Minnesota"	"27"	"Female"	"F"	33540
	"2010"	"2010"	"Minnesota"	"27"	"Male"	"M"	35070
"Total"	"2010"	"2010"	"Minnesota"	"27"			68610
	"2010"	"2010"	"Mississippi"	"28"	"Female"	"F"	19643
	"2010"	"2010"	"Mississippi"	"28"	"Male"	"M"	20393
"Total"	"2010"	"2010"	"Mississippi"	"28"			40036
	"2010"	"2010"	"Missouri"	"29"	"Female"	"F"	37278
	"2010"	"2010"	"Missouri"	"29"	"Male"	"M"	39481
"Total"	"2010"	"2010"	"Missouri"	"29"			76759
	"2010"	"2010"	"Montana"	"30"	"Female"	"F"	5933
	"2010"	"2010"	"Montana"	"30"	"Male"	"M"	6127
"Total"	"2010"	"2010"	"Montana"	"30"			12060
	"2010"	"2010"	"Nebraska"	"31"	"Female"	"F"	12703
	"2010"	"2010"	"Nebraska"	"31"	"Male"	"M"	13215
"Total"	"2010"	"2010"	"Nebraska"	"31"			25918
	"2010"	"2010"	"Nevada"	"32"	"Female"	"F"	17661
	"2010"	"2010"	"Nevada"	"32"	"Male"	"M"	18273
"Total"	"2010"	"2010"	"Nevada"	"32"			35934
	"2010"	"2010"	"New Hampshire"	"33"	"Female"	"F"	6285
	"2010"	"2010"	"New Hampshire"	"33"	"Male"	"M"	6589
"Total"	"2010"	"2010"	"New Hampshire"	"33"			12874
	"2010"	"2010"	"New Jersey"	"34"	"Female"	"F"	52354
	"2010"	"2010"	"New Jersey"	"34"	"Male"	"M"	54568
"Total"	"2010"	"2010"	"New Jersey"	"34"			106922
	"2010"	"2010"	"New Mexico"	"35"	"Female"	"F"	13614
	"2010"	"2010"	"New Mexico"	"35"	"Male"	"M"	14236
"Total"	"2010"	"2010"	"New Mexico"	"35"			27850
	"2010"	"2010"	"New York"	"36"	"Female"	"F"	119023
	"2010"	"2010"	"New York"	"36"	"Male"	"M"	125352
"Total"	"2010"	"2010"	"New York"	"36"			244375
	"2010"	"2010"	"North Carolina"	"37"	"Female"	"F"	59842
	"2010"	"2010"	"North Carolina"	"37"	"Male"	"M"	62508
"Total"	"2010"	"2010"	"North Carolina"	"37"			122350
	"2010"	"2010"	"North Dakota"	"38"	"Female"	"F"	4465
	"2010"	"2010"	"North Dakota"	"38"	"Male"	"M"	4639
"Total"	"2010"	"2010"	"North Dakota"	"38"			9104
	"2010"	"2010"	"Ohio"	"39"	"Female"	"F"	67624
	"2010"	"2010"	"Ohio"	"39"	"Male"	"M"	71504
"Total"	"2010"	"2010"	"Ohio"	"39"			139128
	"2010"	"2010"	"Oklahoma"	"40"	"Female"	"F"	26152
	"2010"	"2010"	"Oklahoma"	"40"	"Male"	"M"	27086
"Total"	"2010"	"2010"	"Oklahoma"	"40"			53238
	"2010"	"2010"	"Oregon"	"41"	"Female"	"F"	22215
	"2010"	"2010"	"Oregon"	"41"	"Male"	"M"	23325
"Total"	"2010"	"2010"	"Oregon"	"41"			45540
	"2010"	"2010"	"Pennsylvania"	"42"	"Female"	"F"	69889
	"2010"	"2010"	"Pennsylvania"	"42"	"Male"	"M"	73432
"Total"	"2010"	"2010"	"Pennsylvania"	"42"			143321
	"2010"	"2010"	"Rhode Island"	"44"	"Female"	"F"	5411
	"2010"	"2010"	"Rhode Island"	"44"	"Male"	"M"	5766
"Total"	"2010"	"2010"	"Rhode Island"	"44"			11177
	"2010"	"2010"	"South Carolina"	"45"	"Female"	"F"	28682
	"2010"	"2010"	"South Carolina"	"45"	"Male"	"M"	29660
"Total"	"2010"	"2010"	"South Carolina"	"45"			58342
	"2010"	"2010"	"South Dakota"	"46"	"Female"	"F"	5782
	"2010"	"2010"	"South Dakota"	"46"	"Male"	"M"	6029
"Total"	"2010"	"2010"	"South Dakota"	"46"			11811
	"2010"	"2010"	"Tennessee"	"47"	"Female"	"F"	38519
	"2010"	"2010"	"Tennessee"	"47"	"Male"	"M"	40976
"Total"	"2010"	"2010"	"Tennessee"	"47"			79495
	"2010"	"2010"	"Texas"	"48"	"Female"	"F"	189039
	"2010"	"2010"	"Texas"	"48"	"Male"	"M"	197079
"Total"	"2010"	"2010"	"Texas"	"48"			386118
	"2010"	"2010"	"Utah"	"49"	"Female"	"F"	25374
	"2010"	"2010"	"Utah"	"49"	"Male"	"M"	26884
"Total"	"2010"	"2010"	"Utah"	"49"			52258
	"2010"	"2010"	"Vermont"	"50"	"Female"	"F"	2956
	"2010"	"2010"	"Vermont"	"50"	"Male"	"M"	3267
"Total"	"2010"	"2010"	"Vermont"	"50"			6223
	"2010"	"2010"	"Virginia"	"51"	"Female"	"F"	50137
	"2010"	"2010"	"Virginia"	"51"	"Male"	"M"	52865
"Total"	"2010"	"2010"	"Virginia"	"51"			103002
	"2010"	"2010"	"Washington"	"53"	"Female"	"F"	42266
	"2010"	"2010"	"Washington"	"53"	"Male"	"M"	44273
"Total"	"2010"	"2010"	"Washington"	"53"			86539
	"2010"	"2010"	"West Virginia"	"54"	"Female"	"F"	10173
	"2010"	"2010"	"West Virginia"	"54"	"Male"	"M"	10297
"Total"	"2010"	"2010"	"West Virginia"	"54"			20470
	"2010"	"2010"	"Wisconsin"	"55"	"Female"	"F"	33411
	"2010"	"2010"	"Wisconsin"	"55"	"Male"	"M"	35076
"Total"	"2010"	"2010"	"Wisconsin"	"55"			68487
	"2010"	"2010"	"Wyoming"	"56"	"Female"	"F"	3758
	"2010"	"2010"	"Wyoming"	"56"	"Male"	"M"	3798
"Total"	"2010"	"2010"	"Wyoming"	"56"			7556
"Total"	"2010"	"2010"					3999386
	"2011"	"2011"	"Alabama"	"01"	"Female"	"F"	28897
	"2011"	"2011"	"Alabama"	"01"	"Male"	"M"	30457
"Total"	"2011"	"2011"	"Alabama"	"01"			59354
	"2011"	"2011"	"Alaska"	"02"	"Female"	"F"	5578
	"2011"	"2011"	"Alaska"	"02"	"Male"	"M"	5878
"Total"	"2011"	"2011"	"Alaska"	"02"			11456
	"2011"	"2011"	"Arizona"	"04"	"Female"	"F"	41739
	"2011"	"2011"	"Arizona"	"04"	"Male"	"M"	43804
"Total"	"2011"	"2011"	"Arizona"	"04"			85543
	"2011"	"2011"	"Arkansas"	"05"	"Female"	"F"	18929
	"2011"	"2011"	"Arkansas"	"05"	"Male"	"M"	19786
"Total"	"2011"	"2011"	"Arkansas"	"05"			38715
	"2011"	"2011"	"California"	"06"	"Female"	"F"	244892
	"2011"	"2011"	"California"	"06"	"Male"	"M"	257228
"Total"	"2011"	"2011"	"California"	"06"			502120
	"2011"	"2011"	"Colorado"	"08"	"Female"	"F"	31625
	"2011"	"2011"	"Colorado"	"08"	"Male"	"M"	33430
"Total"	"2011"	"2011"	"Colorado"	"08"			65055
	"2011"	"2011"	"Connecticut"	"09"	"Female"	"F"	18178
	"2011"	"2011"	"Connecticut"	"09"	"Male"	"M"	19103
"Total"	"2011"	"2011"	"Connecticut"	"09"			37281
	"2011"	"2011"	"Delaware"	"10"	"Female"	"F"	5522
	"2011"	"2011"	"Delaware"	"10"	"Male"	"M"	5735
"Total"	"2011"	"2011"	"Delaware"	"10"			11257
	"2011"	"2011"	"District of Columbia"	"11"	"Female"	"F"	4505
	"2011"	"2011"	"District of Columbia"	"11"	"Male"	"M"	4790
"Total"	"2011"	"2011"	"District of Columbia"	"11"			9295
	"2011"	"2011"	"Florida"	"12"	"Female"	"F"	104057
	"2011"	"2011"	"Florida"	"12"	"Male"	"M"	109357
"Total"	"2011"	"2011"	"Florida"	"12"			213414
	"2011"	"2011"	"Georgia"	"13"	"Female"	"F"	64897
	"2011"	"2011"	"Georgia"	"13"	"Male"	"M"	67512
"Total"	"2011"	"2011"	"Georgia"	"13"			132409
	"2011"	"2011"	"Hawaii"	"15"	"Female"	"F"	9204
	"2011"	"2011"	"Hawaii"	"15"	"Male"	"M"	9752
"Total"	"2011"	"2011"	"Hawaii"	"15"			18956
	"2011"	"2011"	"Idaho"	"16"	"Female"	"F"	10809
	"2011"	"2011"	"Idaho"	"16"	"Male"	"M"	11496
"Total"	"2011"	"2011"	"Idaho"	"16"			22305
	"2011"	"2011"	"Illinois"	"17"	"Female"	"F"	78838
	"2011"	"2011"	"Illinois"	"17"	"Male"	"M"	82474
"Total"	"2011"	"2011"	"Illinois"	"17"			161312
	"2011"	"2011"	"Indiana"	"18"	"Female"	"F"	40809
	"2011"	"2011"	"Indiana"	"18"	"Male"	"M"	42892
"Total"	"2011"	"2011"	"Indiana"	"18"			83701
	"2011"	"2011"	"Iowa"	"19"	"Female"	"F"	18685
	"2011"	"2011"	"Iowa"	"19"	"Male"	"M"	19529
"Total"	"2011"	"2011"	"Iowa"	"19"			38214
	"2011"	"2011"	"Kansas"	"20"	"Female"	"F"	19257
	"2011"	"2011"	"Kansas"	"20"	"Male"	"M"	20385
"Total"	"2011"	"2011"	"Kansas"	"20"			39642
	"2011"	"2011"	"Kentucky"	"21"	"Female"	"F"	27072
	"2011"	"2011"	"Kentucky"	"21"	"Male"	"M"	28298
"Total"	"2011"	"2011"	"Kentucky"	"21"			55370
	"2011"	"2011"	"Louisiana"	"22"	"Female"	"F"	30250
	"2011"	"2011"	"Louisiana"	"22"	"Male"	"M"	31638
"Total"	"2011"	"2011"	"Louisiana"	"22"			61888
	"2011"	"2011"	"Maine"	"23"	"Female"	"F"	6168
	"2011"	"2011"	"Maine"	"23"	"Male"	"M"	6536
"Total"	"2011"	"2011"	"Maine"	"23"			12704
	"2011"	"2011"	"Maryland"	"24"	"Female"	"F"	35701
	"2011"	"2011"	"Maryland"	"24"	"Male"	"M"	37392
"Total"	"2011"	"2011"	"Maryland"	"24"			73093
	"2011"	"2011"	"Massachusetts"	"25"	"Female"	"F"	35657
	"2011"	"2011"	"Massachusetts"	"25"	"Male"	"M"	37509
"Total"	"2011"	"2011"	"Massachusetts"	"25"			73166
	"2011"	"2011"	"Michigan"	"26"	"Female"	"F"	55368
	"2011"	"2011"	"Michigan"	"26"	"Male"	"M"	58640
"Total"	"2011"	"2011"	"Michigan"	"26"			114008
	"2011"	"2011"	"Minnesota"	"27"	"Female"	"F"	33369
	"2011"	"2011"	"Minnesota"	"27"	"Male"	"M"	35040
"Total"	"2011"	"2011"	"Minnesota"	"27"			68409
	"2011"	"2011"	"Mississippi"	"28"	"Female"	"F"	19641
	"2011"	"2011"	"Mississippi"	"28"	"Male"	"M"	20219
"Total"	"2011"	"2011"	"Mississippi"	"28"			39860
	"2011"	"2011"	"Missouri"	"29"	"Female"	"F"	37018
	"2011"	"2011"	"Missouri"	"29"	"Male"	"M"	39099
"Total"	"2011"	"2011"	"Missouri"	"29"			76117
	"2011"	"2011"	"Montana"	"30"	"Female"	"F"	5960
	"2011"	"2011"	"Montana"	"30"	"Male"	"M"	6109
"Total"	"2011"	"2011"	"Montana"	"30"			12069
	"2011"	"2011"	"Nebraska"	"31"	"Female"	"F"	12635
	"2011"	"2011"	"Nebraska"	"31"	"Male"	"M"	13085
"Total"	"2011"	"2011"	"Nebraska"	"31"			25720
	"2011"	"2011"	"Nevada"	"32"	"Female"	"F"	17076
	"2011"	"2011"	"Nevada"	"32"	"Male"	"M"	18220
"Total"	"2011"	"2011"	"Nevada"	"32"			35296
	"2011"	"2011"	"New Hampshire"	"33"	"Female"	"F"	6253
	"2011"	"2011"	"New Hampshire"	"33"	"Male"	"M"	6598
"Total"	"2011"	"2011"	"New Hampshire"	"33"			12851
	"2011"	"2011"	"New Jersey"	"34"	"Female"	"F"	51552
	"2011"	"2011"	"New Jersey"	"34"	"Male"	"M"	54331
"Total"	"2011"	"2011"	"New Jersey"	"34"			105883
	"2011"	"2011"	"New Mexico"	"35"	"Female"	"F"	13584
	"2011"	"2011"	"New Mexico"	"35"	"Male"	"M"	13705
"Total"	"2011"	"2011"	"New Mexico"	"35"			27289
	"2011"	"2011"	"New York"	"36"	"Female"	"F"	118153
	"2011"	"2011"	"New York"	"36"	"Male"	"M"	123159
"Total"	"2011"	"2011"	"New York"	"36"			241312
	"2011"	"2011"	"North Carolina"	"37"	"Female"	"F"	58874
	"2011"	"2011"	"North Carolina"	"37"	"Male"	"M"	61515
"Total"	"2011"	"2011"	"North Carolina"	"37"			120389
	"2011"	"2011"	"North Dakota"	"38"	"Female"	"F"	4639
	"2011"	"2011"	"North Dakota"	"38"	"Male"	"M"	4888
"Total"	"2011"	"2011"	"North Dakota"	"38"			9527
	"2011"	"2011"	"Ohio"	"39"	"Female"	"F"	67117
	"2011"	"2011"	"Ohio"	"39"	"Male"	"M"	70801
"Total"	"2011"	"2011"	"Ohio"	"39"			137918
	"2011"	"2011"	"Oklahoma"	"40"	"Female"	"F"	25550
	"2011"	"2011"	"Oklahoma"	"40"	"Male"	"M"	26722
"Total"	"2011"	"2011"	"Oklahoma"	"40"			52272
	"2011"	"2011"	"Oregon"	"41"	"Female"	"F"	21947
	"2011"	"2011"	"Oregon"	"41"	"Male"	"M"	23208
"Total"	"2011"	"2011"	"Oregon"	"41"			45155
	"2011"	"2011"	"Pennsylvania"	"42"	"Female"	"F"	69778
	"2011"	"2011"	"Pennsylvania"	"42"	"Male"	"M"	73400
"Total"	"2011"	"2011"	"Pennsylvania"	"42"			143178
	"2011"	"2011"	"Rhode Island"	"44"	"Female"	"F"	5342
	"2011"	"2011"	"Rhode Island"	"44"	"Male"	"M"	5618
"Total"	"2011"	"2011"	"Rhode Island"	"44"			10960
	"2011"	"2011"	"South Carolina"	"45"	"Female"	"F"	27966
	"2011"	"2011"	"South Carolina"	"45"	"Male"	"M"	29427
"Total"	"2011"	"2011"	"South Carolina"	"45"			57393
	"2011"	"2011"	"South Dakota"	"46"	"Female"	"F"	5813
	"2011"	"2011"	"South Dakota"	"46"	"Male"	"M"	6033
"Total"	"2011"	"2011"	"South Dakota"	"46"			11846
	"2011"	"2011"	"Tennessee"	"47"	"Female"	"F"	39077
	"2011"	"2011"	"Tennessee"	"47"	"Male"	"M"	40511
"Total"	"2011"	"2011"	"Tennessee"	"47"			79588
	"2011"	"2011"	"Texas"	"48"	"Female"	"F"	184597
	"2011"	"2011"	"Texas"	"48"	"Male"	"M"	192848
"Total"	"2011"	"2011"	"Texas"	"48"			377445
	"2011"	"2011"	"Utah"	"49"	"Female"	"F"	24932
	"2011"	"2011"	"Utah"	"49"	"Male"	"M"	26291
"Total"	"2011"	"2011"	"Utah"	"49"			51223
	"2011"	"2011"	"Vermont"	"50"	"Female"	"F"	2956
	"2011"	"2011"	"Vermont"	"50"	"Male"	"M"	3122
"Total"	"2011"	"2011"	"Vermont"	"50"			6078
	"2011"	"2011"	"Virginia"	"51"	"Female"	"F"	50062
	"2011"	"2011"	"Virginia"	"51"	"Male"	"M"	52590
"Total"	"2011"	"2011"	"Virginia"	"51"			102652
	"2011"	"2011"	"Washington"	"53"	"Female"	"F"	42344
	"2011"	"2011"	"Washington"	"53"	"Male"	"M"	44632
"Total"	"2011"	"2011"	"Washington"	"53"			86976
	"2011"	"2011"	"West Virginia"	"54"	"Female"	"F"	9965
	"2011"	"2011"	"West Virginia"	"54"	"Male"	"M"	10752
"Total"	"2011"	"2011"	"West Virginia"	"54"			20717
	"2011"	"2011"	"Wisconsin"	"55"	"Female"	"F"	33111
	"2011"	"2011"	"Wisconsin"	"55"	"Male"	"M"	34699
"Total"	"2011"	"2011"	"Wisconsin"	"55"			67810
	"2011"	"2011"	"Wyoming"	"56"	"Female"	"F"	3590
	"2011"	"2011"	"Wyoming"	"56"	"Male"	"M"	3809
"Total"	"2011"	"2011"	"Wyoming"	"56"			7399
"Total"	"2011"	"2011"					3953590
	"2012"	"2012"	"Alabama"	"01"	"Female"	"F"	28772
	"2012"	"2012"	"Alabama"	"01"	"Male"	"M"	29676
"Total"	"2012"	"2012"	"Alabama"	"01"			58448
	"2012"	"2012"	"Alaska"	"02"	"Female"	"F"	5477
	"2012"	"2012"	"Alaska"	"02"	"Male"	"M"	5710
"Total"	"2012"	"2012"	"Alaska"	"02"			11187
	"2012"	"2012"	"Arizona"	"04"	"Female"	"F"	42166
	"2012"	"2012"	"Arizona"	"04"	"Male"	"M"	44275
"Total"	"2012"	"2012"	"Arizona"	"04"			86441
	"2012"	"2012"	"Arkansas"	"05"	"Female"	"F"	18674
	"2012"	"2012"	"Arkansas"	"05"	"Male"	"M"	19673
"Total"	"2012"	"2012"	"Arkansas"	"05"			38347
	"2012"	"2012"	"California"	"06"	"Female"	"F"	246316
	"2012"	"2012"	"California"	"06"	"Male"	"M"	257439
"Total"	"2012"	"2012"	"California"	"06"			503755
	"2012"	"2012"	"Colorado"	"08"	"Female"	"F"	31646
	"2012"	"2012"	"Colorado"	"08"	"Male"	"M"	33541
"Total"	"2012"	"2012"	"Colorado"	"08"			65187
	"2012"	"2012"	"Connecticut"	"09"	"Female"	"F"	17920
	"2012"	"2012"	"Connecticut"	"09"	"Male"	"M"	18619
"Total"	"2012"	"2012"	"Connecticut"	"09"			36539
	"2012"	"2012"	"Delaware"	"10"	"Female"	"F"	5430
	"2012"	"2012"	"Delaware"	"10"	"Male"	"M"	5593
"Total"	"2012"	"2012"	"Delaware"	"10"			11023
	"2012"	"2012"	"District of Columbia"	"11"	"Female"	"F"	4577
	"2012"	"2012"	"District of Columbia"	"11"	"Male"	"M"	4822
"Total"	"2012"	"2012"	"District of Columbia"	"11"			9399
	"2012"	"2012"	"Florida"	"12"	"Female"	"F"	104034
	"2012"	"2012"	"Florida"	"12"	"Male"	"M"	109114
"Total"	"2012"	"2012"	"Florida"	"12"			213148
	"2012"	"2012"	"Georgia"	"13"	"Female"	"F"	64172
	"2012"	"2012"	"Georgia"	"13"	"Male"	"M"	66108
"Total"	"2012"	"2012"	"Georgia"	"13"			130280
	"2012"	"2012"	"Hawaii"	"15"	"Female"	"F"	9300
	"2012"	"2012"	"Hawaii"	"15"	"Male"	"M"	9680
"Total"	"2012"	"2012"	"Hawaii"	"15"			18980
	"2012"	"2012"	"Idaho"	"16"	"Female"	"F"	11295
	"2012"	"2012"	"Idaho"	"16"	"Male"	"M"	11668
"Total"	"2012"	"2012"	"Idaho"	"16"			22963
	"2012"	"2012"	"Illinois"	"17"	"Female"	"F"	77887
	"2012"	"2012"	"Illinois"	"17"	"Male"	"M"	81273
"Total"	"2012"	"2012"	"Illinois"	"17"			159160
	"2012"	"2012"	"Indiana"	"18"	"Female"	"F"	40618
	"2012"	"2012"	"Indiana"	"18"	"Male"	"M"	42609
"Total"	"2012"	"2012"	"Indiana"	"18"			83227
	"2012"	"2012"	"Iowa"	"19"	"Female"	"F"	18871
	"2012"	"2012"	"Iowa"	"19"	"Male"	"M"	19831
"Total"	"2012"	"2012"	"Iowa"	"19"			38702
	"2012"	"2012"	"Kansas"	"20"	"Female"	"F"	19726
	"2012"	"2012"	"Kansas"	"20"	"Male"	"M"	20615
"Total"	"2012"	"2012"	"Kansas"	"20"			40341
	"2012"	"2012"	"Kentucky"	"21"	"Female"	"F"	27129
	"2012"	"2012"	"Kentucky"	"21"	"Male"	"M"	28629
"Total"	"2012"	"2012"	"Kentucky"	"21"			55758
	"2012"	"2012"	"Louisiana"	"22"	"Female"	"F"	30458
	"2012"	"2012"	"Louisiana"	"22"	"Male"	"M"	32184
"Total"	"2012"	"2012"	"Louisiana"	"22"			62642
	"2012"	"2012"	"Maine"	"23"	"Female"	"F"	6210
	"2012"	"2012"	"Maine"	"23"	"Male"	"M"	6588
"Total"	"2012"	"2012"	"Maine"	"23"			12798
	"2012"	"2012"	"Maryland"	"24"	"Female"	"F"	35817
	"2012"	"2012"	"Maryland"	"24"	"Male"	"M"	37066
"Total"	"2012"	"2012"	"Maryland"	"24"			72883
	"2012"	"2012"	"Massachusetts"	"25"	"Female"	"F"	35366
	"2012"	"2012"	"Massachusetts"	"25"	"Male"	"M"	37073
"Total"	"2012"	"2012"	"Massachusetts"	"25"			72439
	"2012"	"2012"	"Michigan"	"26"	"Female"	"F"	55162
	"2012"	"2012"	"Michigan"	"26"	"Male"	"M"	57929
"Total"	"2012"	"2012"	"Michigan"	"26"			113091
	"2012"	"2012"	"Minnesota"	"27"	"Female"	"F"	33588
	"2012"	"2012"	"Minnesota"	"27"	"Male"	"M"	35184
"Total"	"2012"	"2012"	"Minnesota"	"27"			68772
	"2012"	"2012"	"Mississippi"	"28"	"Female"	"F"	19092
	"2012"	"2012"	"Mississippi"	"28"	"Male"	"M"	19577
"Total"	"2012"	"2012"	"Mississippi"	"28"			38669
	"2012"	"2012"	"Missouri"	"29"	"Female"	"F"	36788
	"2012"	"2012"	"Missouri"	"29"	"Male"	"M"	38658
"Total"	"2012"	"2012"	"Missouri"	"29"			75446
	"2012"	"2012"	"Montana"	"30"	"Female"	"F"	5924
	"2012"	"2012"	"Montana"	"30"	"Male"	"M"	6194
"Total"	"2012"	"2012"	"Montana"	"30"			12118
	"2012"	"2012"	"Nebraska"	"31"	"Female"	"F"	12639
